yo,tú,él/ella/usted,nosotros/nosotras,ustedes,ellos/ellas,I,you (informal),he/she/you (formal),we (masculine)/we (feminine),you all,they (masculine)/they (feminine)
abandono,abandonas,abandona,abandonamos,abandonan,abandonan,leave behind,leave behind,leaves behind,leave behind,leave behind,leave behind
abarco,abarcas,abarca,abarcamos,abarcan,abarcan,encompass,encompass,encompasses,encompass,encompass,encompass
abordo,abordas,aborda,abordamos,abordan,abordan,board,board,boards,board,board,board
abrazo,abrazas,abraza,abrazamos,abrazan,abrazan,hug,hug,hugs,hug,hug,hug
abro,abres,abre,abrimos,abren,abren,open,open,opens,open,open,open
absorbo,absorbes,absorbe,absorbemos,absorben,absorben,absorb,absorb,absorbs,absorb,absorb,absorb
abundo,abundas,abunda,abundamos,abundan,abundan,am plentiful,are plentiful,is plentiful,are plentiful,are plentiful,are plentiful
aburro,aburres,aburre,aburrimos,aburren,aburren,bore,bore,bores,bore,bore,bore
abuso,abusas,abusa,abusamos,abusan,abusan,abuse,abuse,abuses,abuse,abuse,abuse
acabo,acabas,acaba,acabamos,acaban,acaban,finish,finish,finishes,finish,finish,finish
